threshold,coverage,selective_strict_accuracy,selective_risk,answered,samples
0.0,1.0,0.114,0.886,500,500
0.05,1.0,0.114,0.886,500,500
0.1,1.0,0.114,0.886,500,500
0.15,1.0,0.114,0.886,500,500
0.2,0.982,0.112,0.888,491,500
0.25,0.93,0.1032,0.8968,465,500
0.3,0.884,0.0995,0.9005,442,500
0.35,0.758,0.1029,0.8971,379,500
0.4,0.55,0.1127,0.8873,275,500
0.45,0.332,0.1687,0.8313,166,500
0.5,0.216,0.213,0.787,108,500
0.55,0.154,0.2597,0.7403,77,500
0.6,0.136,0.25,0.75,68,500
0.65,0.092,0.1304,0.8696,46,500
0.7,0.062,0.0968,0.9032,31,500
0.75,0.046,0.087,0.913,23,500
0.8,0.03,0.0667,0.9333,15,500
0.85,0.018,0.0,1.0,9,500
0.9,0.002,0.0,1.0,1,500
0.95,0.0,0.0,0.0,0,500
